Proname,Position,Team,Country,Tier
FollowTactical,ADC,Team Liquid,North America,Challenger
FollowCoreJJ,Support,Team Liquid,North America,Challenger
FollowChovy,Mid,Hanwha Life Esports,Korea,Challenger
FollowHoya,Top,Fredit BRION,Korea,Challenger
FollowDelight,Support,Fredit BRION,Korea,Challenger
FollowKnight,Mid,Top Esports,China,Challenger
FollowRevenge,Top,Immortals,North America,Challenger
FollowCanyon,Jungle,DWG KIA,Korea,Challenger
FollowChieftain,Jungle,Fredit BRION,Korea,Challenger
FollowLost,ADC,Team SoloMid,North America,Challenger
FollowGumayusi,ADC,T1,Korea,Challenger
FollowKeria,Support,T1,Korea,Challenger
FollowUpset,ADC,Fnatic,Europe,Challenger
Followlabrov,Support,Team Vitality,Europe,Challenger
FollowCryin,Mid,Royal Never Give Up,China,Challenger
FollowGrevthar,Mid,RED Academy,Brazil,Challenger
FollowHyoga,Jungle,,Brazil,Challenger
FollowZeka,Mid,Bilibili Gaming,China,Challenger
FollowKenvi,Jungle,100 Thieves Academy,North America,Challenger
FollowDhokla,Top,,North America,Challenger
FollowClid,Jungle,Gen.G,Korea,Challenger
FollowEnga,Mid,Rainbow7,Liga Latinoamérica,Challenger
FollowLife,Support,Gen.G,Korea,Challenger
FollowZzus,Support,KT Rolster,Korea,Challenger
FollowLeo,ADC,Afreeca Freecs,Korea,Challenger
FollowBreezyyy,Support,Cloud9 Academy,North America,Challenger
FollowDoinb,Mid,FunPlus Phoenix,China,Challenger
FollowMagiFelix,Mid,Astralis,Europe,Challenger
FollowDestiny,Support,Immortals,North America,Challenger
FollowDove,Mid,KT Rolster,Korea,Challenger
FollowQuid,Mid,Gen.G Academy,Korea,Challenger
FollowSUP,Support,KT Rolster Academy,Korea,Challenger
FollowBdd,Mid,Gen.G,Korea,Challenger
FollowKabbie,Support,Liiv SANDBOX Academy,Korea,Challenger
FollowAnDa,Jungle,No Org,North America,Challenger
FollowLoop,Support,,Brazil,Challenger
FollowJockster,Support,,Brazil,Challenger
FollowRuler,ADC,Gen.G,Korea,Challenger
